"name","country","sub.region","Age.dependency.ratio....of.working.age.population.","GDP..current.US..","GDP.growth..annual...","GDP.per.capita..current.US..","GDP.per.capita.growth..annual...","Incidence.of.tuberculosis..per.100.000.people.","Inflation..GDP.deflator..annual...","Labor.force..total","Net.migration","Population.growth..annual...","Population..total","Rural.population....of.total.population.","Unemployment..total....of.total.labor.force...modeled.ILO.estimate.","Labor.force.percent","Net.migration.rate"
"Bangladesh ","bgd","Southern Asia",53.0958193081,437415331040.994,5.7751123701,2551.0177267414,4.4907040939,221,6.89712404,75834921,-549918,1.2217147546,171466990,59.527,4.454,0.442271255825976,-0.00320713625403933
"Barbados ","brb","Latin America and the Caribbean",50.5580529737,6720733200,4.0938201097,23804.0249914995,4.0871837305,0.81,3.1821298072,147625,-80,0.0063755858,282336,68.575,7.878,0.522869913861498,-0.000283350334353395
"Belarus ","blr","Eastern Europe",50.9143686598,71857382745.6066,3.8862421446,7829.0531366062,4.4496069351,27,7.3682305357,4856653,-3034,-0.5408249864,9178298,19.269,3.461,0.529145272903538,-0.000330562376597491
"Belgium ","bel","Western Europe",57.3218081149,644782756682.756,1.251700632,54700.9093236712,0.3307615447,7.5,4.5081028488,5367441,41679,0.9137158904,11787423,1.811,5.528,0.455353218426114,0.00353588736062157
"Belize ","blz","Latin America and the Caribbean",46.7004478384,3066850000,1.1490168207,7459.9981513284,-0.9110862132,27,6.5097016138,186401,595,2.0577277428,411106,53.392,8.267,0.453413474870228,0.00144731529094686
"Benin ","ben","Sub-Saharan Africa",81.5677814532,19676049075.7011,6.3528216091,1394.3733021762,3.7033682495,51,3.385464352,6204134,-192,2.5227477228,14111034,49.9,1.657,0.439665441951313,-1.36063735655374e-05
"Bolivia ","bol","Latin America and the Caribbean",55.5037371721,45135398008.8166,3.0819652409,3686.2799649054,1.6759720971,105,-0.505250429,6702504,-3008,1.3733438228,12244159,28.814,3.024,0.547404194930824,-0.000245668158997282
"Bosnia & Herzegovina ","bih","Southern Europe",53.5210215349,27514782476.0406,2.2111244721,8638.6662020119,2.8442412876,24,6.7627043563,1366194,-485,-0.6175101294,3185073,49.731,10.668,0.428936479634847,-0.000152272805050308
"Botswana ","bwa","Sub-Saharan Africa",56.8649822627,19396084498.0084,2.7337981703,7820.2324037508,1.0623842998,244,2.1246797196,1146757,-6487,1.6403166404,2480244,27.133,23.381,0.462356526212744,-0.00261546847810135
"Brazil ","bra","Latin America and the Caribbean",44.029094759,2173665655937.27,2.9084804867,10294.866680778,2.5018418131,49,4.6589947587,106356432,-240059,0.3959286956,211140729,12.212,7.947,0.503722955318583,-0.00113696206855476
"Brunei ","brn","South-eastern Asia",37.9986469217,15128292980.8638,1.4070683233,32962.9065121916,0.6162704404,65,-12.8961956287,231915,0,0.7828817469,458949,20.851,5.183,0.505317584306753,0
"Bulgaria ","bgr","Eastern Europe",57.1601451805,102407653020.606,1.8868148391,15885.5391311331,4.9960509863,16,7.9841992434,3131695,5173,-3.0060201079,6446596,23.299,4.319,0.485790485397255,0.000802438992609433
"Burkina Faso ","bfa","Sub-Saharan Africa",81.8908186351,20324617844.5265,2.9601814738,882.6898100862,0.6495779895,43,1.9980475241,6287117,-24957,2.2697366627,23025776,67.48,5.348,0.273046910557976,-0.00108387226558618
"Burma ","bdi","Sub-Saharan Africa",91.8466661836,2642161668.85211,2.7000005971,193.0071455648,-0.0634306087,94,11.37603149,5901964,1995,2.7276444104,13689450,85.216,0.921,0.4311322953077,0.000145732662743938
"Burundi ","cpv","Sub-Saharan Africa",49.1432552588,2533819406.4916,5.4754359165,4850.9841584964,4.9524315782,47,3.7925943208,221192,-1226,0.4970875972,522331,32.018,11.971,0.423470940840195,-0.00234717066381279
"Cambodia ","khm","South-eastern Asia",56.4253473651,42335646895.7984,4.9600665892,2429.7485345284,3.6218165236,335,1.0630960724,9740379,-31837,1.283206776,17423880,74.43,0.225,0.559024683365588,-0.00182720496238496
"Cameroon ","cmr","Sub-Saharan Africa",80.2951604071,49279410982.826,3.2483449782,1736.8609107352,0.5557870819,150,4.6597228596,10843938,-4798,2.6424533613,28372687,40.685,3.613,0.382196370756143,-0.000169106295783688
"Canada ","can","Northern America",53.0518429292,2142470914401.36,1.248927304,53431.1857063879,-1.6768629492,5.8,1.5347101133,22197237,433842,2.9322740116,40097761,18.138,5.415,0.553577966610156,0.0108196066109527
"Central African Rep. ","caf","Sub-Saharan Africa",105.1775624492,2555492085.24831,0.8702514508,495.9788971531,-0.1943987426,540,3.3999529901,1927491,-14682,1.0610745318,5152421,56.386,5.877,0.374094236476406,-0.00284953422866648
"Chad ","tcd","Sub-Saharan Africa",95.3580792822,13149325362.3347,4.12231962,680.639877912,-0.5329496688,139,-0.9366041655,6221467,496830,4.5739921339,19319064,75.634,1.074,0.322037703275894,0.0257170844301774
"Chile ","chl","Latin America and the Caribbean",45.0908347498,335533331669.219,0.2187806669,17067.8136150601,-0.320572086,18,6.5995120457,9991796,62679,0.5396287096,19658835,11.988,9.013,0.508259823127871,0.00318833745743326
"China ","chn","Eastern Asia",44.7297141014,17794783039552,5.2495578639,12614.0617416421,5.3588578634,52,-0.582393794,774607590,-567724,-0.1037945316,1410710000,35.43,4.67,0.549090592680282,-0.000402438488420724
"Colombia ","col","Latin America and the Caribbean",42.8026198463,363493841244.303,0.6104095658,6947.3592868197,-0.5110641308,46,6.3360573198,26490194,154521,1.1209286434,52321152,17.646,9.594,0.506299899512916,0.00295331800033761
"Comoros ","com","Sub-Saharan Africa",72.0409311058,1352380971.24055,2.9956745718,1590.3123768832,1.0337126269,35,2.9180888605,268470,-2002,1.9232743367,850387,69.868,3.776,0.315703320958575,-0.00235422225410313
"Congo, Dem. Rep. ","cod","Sub-Saharan Africa",96.6825341171,66383287002.9867,8.560862509,627.5021816908,5.0792270602,316,13.1719312219,37296766,-14992,3.259635143,105789731,52.556,4.484,0.352555636992781,-0.000141715078186559
"Congo, Repub. of the ","cog","Sub-Saharan Africa",77.9305853487,15321055822.5167,1.9068642635,2477.9784554487,-0.5288754127,368,-7.567702287,2485719,-995,2.4191903808,6182885,30.812,19.898,0.402032222821547,-0.000160928110420944
"Costa Rica ","cri","Latin America and the Caribbean",45.0322532262,86497941439.0174,5.1119218322,16942.0268119375,4.6227538696,9.9,-0.0879225969,2340587,995,0.466464449,5105525,17.378,8.325,0.458441981970512,0.000194886911727981
"Croatia ","hrv","Southern Europe",58.6141257781,84393795502.4421,3.3025448809,21865.4562838641,3.1942825004,3.5,11.7403306343,1731721,10202,0.1048562263,3859686,41.425,6.086,0.448668881354597,0.00264322019977791
"Cyprus ","cyp","Western Asia",43.631101761,33886930712.3394,2.6119009091,36551.41796875,1.0181048195,5.5,3.8297023201,766606,8697,1.016768177,1344976,33.013,6.098,0.569977456846814,0.00646628638726639
"Czech Republic ","cze","Eastern Europe",56.7878159701,343207874553.734,-0.0853302759,31591.1770732969,-1.8504213049,4.8,8.1588926397,5536144,-14638,1.7823890705,10864042,25.448,2.579,0.509584186069973,-0.0013473806526153
"Denmark ","dnk","Northern Europe",57.398851167,407091920305.404,2.4951843315,68453.8769281145,1.7383132453,3.6,-3.788917986,3189737,31006,0.7411855157,5946952,11.505,5.094,0.536365015221243,0.0052137632857975
"Djibouti ","dji","Sub-Saharan Africa",52.2310906894,4098530513.55777,6.6766496436,3554.8391886837,5.2103064877,218,4.5645257943,260365,500,1.3841027235,1152944,21.448,26.154,0.225826232670451,0.00043367240733288
"Dominican Republic ","dom","Latin America and the Caribbean",52.659776053,121444279313.931,2.3606156872,10717.6276712204,1.452472152,42,6.4239198019,5323558,-34915,0.8911592037,11331265,15.554,5.555,0.469811446471334,-0.00308129763093529
"Ecuador ","ecu","Latin America and the Caribbean",49.4714073657,118844826000,2.3552179074,6609.8040815496,1.4660978703,58,-0.408196858,8695838,-21948,0.872456027,17980083,35.208,3.51,0.483637255734581,-0.00122068402020169
"Egypt ","egy","Northern Africa",59.7566710357,396002496996.96,3.7587005518,3457.4569157045,2.0216049045,9.2,24.8250653744,33137441,305006,1.688341269,114535772,56.9,7.334,0.289319576070959,0.00266297589542593
