"name","country","sub.region","Age.dependency.ratio....of.working.age.population.","GDP..current.US..","GDP.growth..annual...","GDP.per.capita..current.US..","GDP.per.capita.growth..annual...","Incidence.of.tuberculosis..per.100.000.people.","Inflation..GDP.deflator..annual...","Labor.force..total","Net.migration","Population.growth..annual...","Population..total","Rural.population....of.total.population.","Unemployment..total....of.total.labor.force...modeled.ILO.estimate.","Labor.force.percent","Net.migration.rate"
"Nicaragua ","nic","Latin America and the Caribbean",52.8658369386,17829218219.3591,4.569223171,2612.8706624129,3.1446625435,43,10.6686540408,3161456,-7996,1.371678122,6823613,40.151,4.716,0.463311152024595,-0.00117181323149481
"Niger ","ner","Sub-Saharan Africa",98.1640417247,16819170420.5653,2.5,642.9379178635,-0.8222315312,74,3.3879179231,10094779,995,3.2948917581,26159867,82.946,0.425,0.385888009293014,3.8035361571219e-05
"Nigeria ","nga","Sub-Saharan Africa",80.2464063402,363846332834.618,2.8602149911,1596.63696129,0.7242957037,219,12.6218692276,110183277,-57936,2.0983891694,227882945,45.717,3.074,0.483508219537886,-0.000254235787588229
"Norway ","nor","Northern Europe",53.9423298435,485310823603.662,0.479647246,87925.0944188399,-0.6575128648,2.9,-10.6191584031,3005240,53806,1.1381846066,5519594,16.005,3.572,0.544467582217098,0.00974818075387429
"Oman ","omn","Western Asia",38.6735887164,108810923276.983,1.3104401131,21549.8368728192,-5.0909591281,11,-4.0559254034,2560549,156285,6.5270498845,5049269,11.6,3.176,0.507112811775328,0.030952005131832
"Pakistan ","pak","Southern Asia",70.1673862519,337912301397.727,-0.0396925228,1365.2774322249,-1.5759547894,277,25.9997683356,81926413,-1619557,1.5488045861,247504495,61.96,5.408,0.331009798428105,-0.0065435458050974
"Panama ","pan","Latin America and the Caribbean",52.2832629254,83318176900,7.3993015563,18686.4050961265,6.0025775126,58,1.706738314,2170438,7262,1.309026888,4458759,30.488,6.544,0.486780738766101,0.00162870430987636
"Papua New Guinea ","png","Melanesia",59.1154128064,30729242919.4411,3.035704755,2957.6826249855,1.186491022,432,-3.6221115697,3574855,-787,1.811031625,10389635,86.277,2.661,0.344078978712919,-7.57485705705735e-05
"Paraguay ","pry","Latin America and the Caribbean",54.2026658652,42956263543.9482,4.7141240795,6276.3511391996,3.4338054931,62,2.0687553102,3448638,-12500,1.2302161604,6844146,36.851,5.794,0.503881419245002,-0.00182637833851002
"Peru ","per","Latin America and the Caribbean",50.0391504388,267603248655.253,-0.5501823063,7906.58502858,-1.6378928381,173,6.5663436313,18608668,24783,1.0997532078,33845617,21.078,4.899,0.549810275286162,0.000732236614271207
"Philippines ","phl","South-eastern Asia",51.216658187,437146372729.942,5.5458511709,3804.8725797521,4.6943818328,643,4.5964850619,50352675,-164284,0.8100009987,114891199,51.713,2.222,0.438263987479145,-0.00142990935276078
"Poland ","pol","Eastern Europe",53.0401710836,809200697797.088,0.1388327548,22056.6661704127,0.5056692111,10,9.5471886252,18341629,-7824,-0.3656585269,36687353,39.782,2.743,0.499944190577063,-0.000213261501858692
"Portugal ","prt","Southern Europe",58.7431554583,289114289663.542,2.5262811081,27331.2094945255,1.132128835,16,6.9023659032,5414853,29102,1.3691298596,10578174,32.094,6.509,0.511889197511782,0.00275113644377565
"Puerto Rico ","pri","Latin America and the Caribbean",56.8592920687,117902300000,0.5635194268,36779.0594913858,1.0159420331,0.71,3.2354594382,1149949,19833,-0.448878435,3205691,6.366,5.725,0.358721099444706,0.00618680964572069
"Qatar ","qat","Western Asia",20.0951254428,213002809330.267,1.1871599118,80195.874646942,1.2367242601,35,-10.6934814488,1972818,39995,-0.0489708509,2656032,0.646,0.13,0.742768912422742,0.0150581770099155
"Romania ","rou","Eastern Europe",55.3509303093,350775856415.189,2.4042717791,18404.2730871704,2.3452936879,55,12.769937792,8280024,-27780,0.057609981,19059479,45.328,5.589,0.434430762771637,-0.00145754246482813
"Russia ","rus","Eastern Europe",51.7902694469,2021421476035.42,3.6,13817.0458984375,3.8936180494,38,7.073601566,73184751,27807,-0.2852176008,143826130,24.669,3.076,0.508841828671883,0.00019333760840259
"Rwanda ","rwa","Sub-Saharan Africa",71.0958025684,14097768472.1883,8.2412876945,1010.2689290184,5.8875729188,55,10.1301242309,5531930,-9001,2.198498205,13954471,82.108,12.352,0.396427066278614,-0.000645026242843602
"Saint Lucia ","lca","Latin America and the Caribbean",37.3031797574,2430148148.14815,2.2100726599,13554.6651875402,1.9227431197,1.3,1.4896346151,101981,0,0.2815125328,179285,80.828,11.092,0.568820592910729,0
"Saint Vincent and the Grenadines ","vct","Latin America and the Caribbean",49.7221975943,1065962962.96296,6.0161091451,10520.4441534791,6.7725972762,14,4.0331441445,52246,-784,-0.7110258161,101323,45.701,18.574,0.515638107833365,-0.00773763114001757
"Samoa ","wsm","Polynesia",79.9646155891,938189443.830393,8.5840912182,4330.1784053133,7.881456731,5.2,8.710884357,57484,-2810,0.6491905631,216663,82.492,4.977,0.265315259181309,-0.012969450252235
"Sao Tome & Principe ","stp","Sub-Saharan Africa",72.8534635081,678976264.835436,0.372252775,2940.9335292671,-1.6128371937,111,21.6884761062,33614,-592,1.9975466017,230871,23.599,9.071,0.145596458628412,-0.002564202520022
